,year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description
23,2009,FALSE,FALSE,FALSE,61467,https://www.iucnredlist.org/species/61467/12490356,Anguis cephallonica,NT,12490356,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,cephallonica,Global; Europe
24,2006,FALSE,FALSE,FALSE,61467,https://www.iucnredlist.org/species/61467/12490512,Anguis cephallonica,NT,12490512,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,cephallonica,Global; Europe
25,2006,FALSE,FALSE,FALSE,61467,https://www.iucnredlist.org/species/61467/12490512,Anguis cephallonica,NT,12490512,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,cephallonica,Global; Europe
26,2024,TRUE,FALSE,FALSE,47113126,https://www.iucnredlist.org/species/47113126/204902180,Anguis fragilis,LC,204902180,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,fragilis,Global; Europe
27,2024,TRUE,FALSE,FALSE,47113126,https://www.iucnredlist.org/species/47113126/204902180,Anguis fragilis,LC,204902180,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,fragilis,Global; Europe
28,2021,FALSE,FALSE,FALSE,47113126,https://www.iucnredlist.org/species/47113126/744263,Anguis fragilis,LC,744263,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,fragilis,Global
29,2021,FALSE,FALSE,FALSE,47113126,https://www.iucnredlist.org/species/47113126/216974823,Anguis fragilis,LC,216974823,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,fragilis,Global; Europe
30,2021,FALSE,FALSE,FALSE,47113126,https://www.iucnredlist.org/species/47113126/216974823,Anguis fragilis,LC,216974823,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,fragilis,Global; Europe
31,2024,TRUE,FALSE,FALSE,157263,https://www.iucnredlist.org/species/157263/204911476,Pseudopus apodus,LC,204911476,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Pseudopus,apodus,Europe
32,2021,TRUE,FALSE,FALSE,157263,https://www.iucnredlist.org/species/157263/745759,Pseudopus apodus,LC,745759,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Pseudopus,apodus,Global
33,2009,FALSE,FALSE,FALSE,157263,https://www.iucnredlist.org/species/157263/5064890,Pseudopus apodus,LC,5064890,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Pseudopus,apodus,Europe
34,2024,TRUE,FALSE,FALSE,157244,https://www.iucnredlist.org/species/157244/204911892,Eryx jaculus,LC,204911892,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ERYCIDAE,Eryx,jaculus,Europe
35,2021,TRUE,FALSE,FALSE,157244,https://www.iucnredlist.org/species/157244/743082,Eryx jaculus,LC,743082,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ERYCIDAE,Eryx,jaculus,Global
36,2009,FALSE,FALSE,FALSE,157244,https://www.iucnredlist.org/species/157244/5058568,Eryx jaculus,LC,5058568,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ERYCIDAE,Eryx,jaculus,Europe
37,2024,TRUE,FALSE,FALSE,157269,https://www.iucnredlist.org/species/157269/207642827,Eryx miliaris,LC,207642827,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ERYCIDAE,Eryx,miliaris,Europe
38,2021,TRUE,FALSE,FALSE,157269,https://www.iucnredlist.org/species/157269/746649,Eryx miliaris,LC,746649,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ERYCIDAE,Eryx,miliaris,Global
39,2009,FALSE,FALSE,FALSE,157269,https://www.iucnredlist.org/species/157269/5066497,Eryx miliaris,LC,5066497,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ERYCIDAE,Eryx,miliaris,Europe
40,2024,TRUE,FALSE,FALSE,157273,https://www.iucnredlist.org/species/157273/204875915,Chamaeleo africanus,NA,204875915,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,africanus,Europe
41,2014,TRUE,FALSE,FALSE,157273,https://www.iucnredlist.org/species/157273/747133,Chamaeleo africanus,LC,747133,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,africanus,Global
42,2009,FALSE,FALSE,FALSE,157273,https://www.iucnredlist.org/species/157273/5067272,Chamaeleo africanus,NA,5067272,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,africanus,Europe
43,2024,TRUE,FALSE,FALSE,157246,https://www.iucnredlist.org/species/157246/207643203,Chamaeleo chamaeleon,NA,207643203,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,chamaeleon,Europe
44,2012,TRUE,FALSE,FALSE,157246,https://www.iucnredlist.org/species/157246/743434,Chamaeleo chamaeleon,LC,743434,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,chamaeleon,Global
45,2009,FALSE,FALSE,FALSE,157246,https://www.iucnredlist.org/species/157246/5059239,Chamaeleo chamaeleon,NA,5059239,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,chamaeleon,Europe
46,2024,TRUE,FALSE,FALSE,157284,https://www.iucnredlist.org/species/157284/204914315,Coronella austriaca,LC,204914315,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,austriaca,Europe
47,2017,TRUE,FALSE,FALSE,157284,https://www.iucnredlist.org/species/157284/748852,Coronella austriaca,LC,748852,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,austriaca,Global
48,2009,FALSE,FALSE,FALSE,157284,https://www.iucnredlist.org/species/157284/5070002,Coronella austriaca,LC,5070002,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,austriaca,Europe
49,2024,TRUE,FALSE,FALSE,61491,https://www.iucnredlist.org/species/61491/137849296,Coronella girondica,LC,137849296,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,girondica,Europe
50,2009,FALSE,FALSE,FALSE,61491,https://www.iucnredlist.org/species/61491/12481171,Coronella girondica,LC,12481171,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,girondica,Europe
51,2009,FALSE,FALSE,FALSE,61491,https://www.iucnredlist.org/species/61491/12480967,Coronella girondica,LC,12480967,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,girondica,Global
52,2009,TRUE,FALSE,FALSE,61491,https://www.iucnredlist.org/species/61491/86249650,Coronella girondica,LC,86249650,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,girondica,Global
53,2006,FALSE,FALSE,FALSE,61491,https://www.iucnredlist.org/species/61491/12480819,Coronella girondica,LC,12480819,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,girondica,Global
54,2024,TRUE,FALSE,FALSE,157267,https://www.iucnredlist.org/species/157267/204916174,Dolichophis caspius,LC,204916174,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,caspius,Europe
55,2017,TRUE,FALSE,FALSE,157267,https://www.iucnredlist.org/species/157267/746211,Dolichophis caspius,LC,746211,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,caspius,Global
56,2009,FALSE,FALSE,FALSE,157267,https://www.iucnredlist.org/species/157267/5066068,Dolichophis caspius,LC,5066068,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,caspius,Europe
57,2024,TRUE,FALSE,FALSE,157294,https://www.iucnredlist.org/species/157294/204916461,Dolichophis jugularis,LC,204916461,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,jugularis,Europe
58,2012,TRUE,FALSE,FALSE,157294,https://www.iucnredlist.org/species/157294/749921,Dolichophis jugularis,LC,749921,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,jugularis,Global
59,2009,FALSE,FALSE,FALSE,157294,https://www.iucnredlist.org/species/157294/5073463,Dolichophis jugularis,LC,5073463,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,jugularis,Europe
60,2009,FALSE,FALSE,FALSE,157294,https://www.iucnredlist.org/species/157294/5073256,Dolichophis jugularis,LC,5073256,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,jugularis,Global
61,2024,TRUE,FALSE,FALSE,157292,https://www.iucnredlist.org/species/157292/137861955,Eirenis modestus,LC,137861955,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Eirenis,modestus,Europe
62,2009,FALSE,FALSE,FALSE,157292,https://www.iucnredlist.org/species/157292/5072732,Eirenis modestus,LC,5072732,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Eirenis,modestus,Europe
63,2009,TRUE,FALSE,FALSE,157292,https://www.iucnredlist.org/species/157292/5072508,Eirenis modestus,LC,5072508,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Eirenis,modestus,Global
64,2024,TRUE,FALSE,FALSE,157275,https://www.iucnredlist.org/species/157275/199524634,Elaphe dione,LC,199524634,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,dione,Europe
65,2017,TRUE,FALSE,FALSE,157275,https://www.iucnredlist.org/species/157275/747623,Elaphe dione,LC,747623,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,dione,Global
66,2009,FALSE,FALSE,FALSE,157275,https://www.iucnredlist.org/species/157275/5067782,Elaphe dione,LC,5067782,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,dione,Europe
67,2024,TRUE,FALSE,FALSE,157264,https://www.iucnredlist.org/species/157264/204978521,Elaphe quatuorlineata,LC,204978521,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,quatuorlineata,Global; Europe
68,2024,TRUE,FALSE,FALSE,157264,https://www.iucnredlist.org/species/157264/204978521,Elaphe quatuorlineata,LC,204978521,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,quatuorlineata,Global; Europe
69,2009,FALSE,FALSE,FALSE,157264,https://www.iucnredlist.org/species/157264/5065135,Elaphe quatuorlineata,NT,5065135,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,quatuorlineata,Global; Europe
70,2009,FALSE,FALSE,FALSE,157264,https://www.iucnredlist.org/species/157264/5065135,Elaphe quatuorlineata,NT,5065135,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,quatuorlineata,Global; Europe
71,2024,TRUE,FALSE,FALSE,157265,https://www.iucnredlist.org/species/157265/200131166,Elaphe sauromates,LC,200131166,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,sauromates,Europe
72,2017,TRUE,FALSE,FALSE,157265,https://www.iucnredlist.org/species/157265/746010,Elaphe sauromates,LC,746010,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,sauromates,Global
73,2009,FALSE,FALSE,FALSE,157265,https://www.iucnredlist.org/species/157265/5065311,Elaphe sauromates,LC,5065311,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,sauromates,Europe
74,2024,TRUE,FALSE,FALSE,61509,https://www.iucnredlist.org/species/61509/207643905,Hemorrhois hippocrepis,LC,207643905,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,hippocrepis,Europe
75,2009,FALSE,FALSE,FALSE,61509,https://www.iucnredlist.org/species/61509/12495724,Hemorrhois hippocrepis,LC,12495724,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,hippocrepis,Europe
76,2009,TRUE,FALSE,FALSE,61509,https://www.iucnredlist.org/species/61509/12495496,Hemorrhois hippocrepis,LC,12495496,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,hippocrepis,Global
77,2006,FALSE,FALSE,FALSE,61509,https://www.iucnredlist.org/species/61509/12495356,Hemorrhois hippocrepis,LC,12495356,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,hippocrepis,Global
78,2024,TRUE,FALSE,FALSE,157270,https://www.iucnredlist.org/species/157270/244574857,Hemorrhois nummifer,LC,244574857,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,nummifer,Europe
79,2017,TRUE,FALSE,FALSE,157270,https://www.iucnredlist.org/species/157270/746934,Hemorrhois nummifer,LC,746934,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,nummifer,Global
80,2009,FALSE,FALSE,FALSE,157270,https://www.iucnredlist.org/species/157270/5066723,Hemorrhois nummifer,LC,5066723,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,nummifer,Europe
81,2024,TRUE,FALSE,FALSE,157285,https://www.iucnredlist.org/species/157285/207644599,Hemorrhois ravergieri,NA,207644599,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,ravergieri,Europe
82,2017,TRUE,FALSE,FALSE,157285,https://www.iucnredlist.org/species/157285/749241,Hemorrhois ravergieri,LC,749241,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,ravergieri,Global
83,2009,FALSE,FALSE,FALSE,157285,https://www.iucnredlist.org/species/157285/5070367,Hemorrhois ravergieri,NA,5070367,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,ravergieri,Europe
84,2024,TRUE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/137844254,Hierophis cypriensis,NT,137844254,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe; Mediterranean
85,2024,TRUE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/137844254,Hierophis cypriensis,NT,137844254,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe; Mediterranean
86,2024,TRUE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/137844254,Hierophis cypriensis,NT,137844254,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe; Mediterranean
87,2009,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485322,Hierophis cypriensis,EN,12485322,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
88,2009,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485322,Hierophis cypriensis,EN,12485322,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
89,2006,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485461,Hierophis cypriensis,EN,12485461,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
90,2006,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485461,Hierophis cypriensis,EN,12485461,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
91,1996,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485278,Hierophis cypriensis,EN,12485278,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
92,1996,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485278,Hierophis cypriensis,EN,12485278,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
93,1996,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485600,Hierophis cypriensis,EN,12485600,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
94,1996,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485600,Hierophis cypriensis,EN,12485600,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
95,1994,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485579,Hierophis cypriensis,V,12485579,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
96,1994,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485579,Hierophis cypriensis,V,12485579,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
97,1990,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485301,Hierophis cypriensis,V,12485301,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
98,1990,FALSE,FALSE,FALSE,61443,https://www.iucnredlist.org/species/61443/12485301,Hierophis cypriensis,V,12485301,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Global; Europe
99,2024,TRUE,FALSE,FALSE,61510,https://www.iucnredlist.org/species/61510/137851210,Hierophis gemonensis,LC,137851210,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,gemonensis,Global; Europe
100,2024,TRUE,FALSE,FALSE,61510,https://www.iucnredlist.org/species/61510/137851210,Hierophis gemonensis,LC,137851210,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,gemonensis,Global; Europe
101,2009,FALSE,FALSE,FALSE,61510,https://www.iucnredlist.org/species/61510/12496555,Hierophis gemonensis,LC,12496555,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,gemonensis,Global; Europe
102,2009,FALSE,FALSE,FALSE,61510,https://www.iucnredlist.org/species/61510/12496555,Hierophis gemonensis,LC,12496555,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,gemonensis,Global; Europe
103,2006,FALSE,FALSE,FALSE,61510,https://www.iucnredlist.org/species/61510/12496739,Hierophis gemonensis,LC,12496739,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,gemonensis,Global; Europe
104,2006,FALSE,FALSE,FALSE,61510,https://www.iucnredlist.org/species/61510/12496739,Hierophis gemonensis,LC,12496739,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,gemonensis,Global; Europe
105,2024,TRUE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/137844938,Hierophis viridiflavus,LC,137844938,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
106,2024,TRUE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/137844938,Hierophis viridiflavus,LC,137844938,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
107,2009,FALSE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/12487580,Hierophis viridiflavus,LC,12487580,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
108,2009,FALSE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/86246670,Hierophis viridiflavus,LC,86246670,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
109,2009,FALSE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/86246670,Hierophis viridiflavus,LC,86246670,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
110,2009,FALSE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/12487580,Hierophis viridiflavus,LC,12487580,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
111,2006,FALSE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/12487740,Hierophis viridiflavus,LC,12487740,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
112,2006,FALSE,FALSE,FALSE,61449,https://www.iucnredlist.org/species/61449/12487740,Hierophis viridiflavus,LC,12487740,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Global; Europe
113,2024,TRUE,FALSE,FALSE,61532,https://www.iucnredlist.org/species/61532/207750368,Macroprotodon brevis,LC,207750368,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Macroprotodon,brevis,Europe
114,2009,FALSE,FALSE,FALSE,61532,https://www.iucnredlist.org/species/61532/12508523,Macroprotodon brevis,NT,12508523,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Macroprotodon,brevis,Europe
115,2009,TRUE,FALSE,FALSE,61532,https://www.iucnredlist.org/species/61532/12508324,Macroprotodon brevis,NT,12508324,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Macroprotodon,brevis,Global
